type,freq_tar,range_tar,likelihood,effect,word,category,subcategory
dad,68272,730,975.44,0.001,DAD,NOUNS,NOUN.PERSON
enjoy,68254,729,975.183,0.001,ENJOY,VERBS,VERB.CONSUMPTION
called,68164,730,973.897,0.001,CALLED,ADJECTIVES,ADJ.ALL
playing,68164,728,973.897,0.001,PLAYING,NOUNS,NOUN.ACT
ye,67827,728,969.081,0.001,,,
another,67818,732,968.953,0.001,ANOTHER,ADJECTIVES,ADJ.ALL
stuff,67127,729,959.078,0.001,STUFF,NOUNS,NOUN.ARTIFACT
un,66900,730,955.835,0.001,UN,NOUNS,NOUN.GROUP
literally,66754,731,953.748,0.001,LITERALLY,ADVERBS,ADV.ALL
live,65884,730,941.316,0.001,LIVE,ADJECTIVES,ADJ.ALL
else,65691,732,938.558,0.001,ELSE,ADJECTIVES,ADJ.ALL
hot,65678,728,938.373,0.001,HOT,ADJECTIVES,ADJ.ALL
hate,65523,730,936.158,0.001,HATE,NOUNS,NOUN.FEELING
yesn,65088,730,929.942,0.001,,,
staff,64912,721,927.427,0.001,STAFF,NOUNS,NOUN.ARTIFACT
check,64655,728,923.754,0.001,CHECK,NOUNS,NOUN.ACT
hard,64583,733,922.725,0.001,HARD,ADJECTIVES,ADJ.ALL
buy,64384,726,919.882,0.001,BUY,NOUNS,NOUN.POSSESSION
though,63941,735,913.552,0.001,THOUGH,ADVERBS,ADV.ALL
tf,63736,729,910.622,0.001,,,
roles,62746,726,896.476,0.001,,,
things,62617,734,894.632,0.001,THINGS,NOUNS,NOUN.POSSESSION
gotta,62431,732,891.974,0.001,,,
weird,62341,732,890.688,0.001,WEIRD,ADJECTIVES,ADJ.ALL
trying,62193,732,888.574,0.001,TRYING,ADJECTIVES,ADJ.ALL
saw,61977,729,885.487,0.001,SAW,NOUNS,NOUN.ARTIFACT
hm,61891,729,884.258,0.001,HM,NOUNS,NOUN.QUANTITY
doesnt,61871,731,883.972,0.001,,,
mute,61840,722,883.529,0.001,MUTE,ADJECTIVES,ADJ.ALL
next,61646,732,880.757,0.001,NEXT,ADJECTIVES,ADJ.ALL
wants,61022,729,871.841,0.001,,,
free,61012,730,871.698,0.001,FREE,ADJECTIVES,ADJ.ALL
av,60881,663,869.826,0.001,AV,NOUNS,NOUN.TIME
fr,60660,726,866.668,0.001,FR,NOUNS,NOUN.SUBSTANCE
nn,60584,729,865.582,0.001,,,
damn,60377,732,862.624,0.001,DAMN,ADJECTIVES,ADJ.ALL
simp,60085,614,858.452,0.001,,,
jb,60054,183,858.009,0.001,,,
might,59910,732,855.951,0.001,MIGHT,NOUNS,NOUN.ATTRIBUTE
klutz,59832,86,854.836,0.001,KLUTZ,NOUNS,NOUN.PERSON
ship,58979,726,842.648,0.001,SHIP,NOUNS,NOUN.ARTIFACT
mine,58902,730,841.547,0.001,MINE,NOUNS,NOUN.ARTIFACT
says,58860,732,840.947,0.001,,,
rules,58600,723,837.232,0.001,,,
welcomen,58483,692,835.56,0.001,,,
TRUE,58292,732,832.831,0.001,TRUE,ADJECTIVES,ADJ.ALL
two,58274,731,832.574,0.001,TWO,ADJECTIVES,ADJ.ALL
youn,58245,729,832.159,0.001,,,
type,58029,730,829.073,0.001,TYPE,NOUNS,NOUN.ARTIFACT
phone,58001,731,828.673,0.001,PHONE,NOUNS,NOUN.ARTIFACT
hours,57821,731,826.101,0.001,HOURS,NOUNS,NOUN.TIME
listen,57361,728,819.528,0.001,LISTEN,VERBS,VERB.PERCEPTION
done,57322,732,818.971,0.001,DONE,ADJECTIVES,ADJ.ALL
hes,57183,728,816.984,0.001,,,
main,56906,727,813.026,0.001,MAIN,ADJECTIVES,ADJ.ALL
morning,56867,731,812.469,0.001,MORNING,ADJECTIVES,ADJ.ALL
days,56749,732,810.783,0.001,DAYS,NOUNS,NOUN.TIME
youre,56618,729,808.911,0.001,,,
btw,56345,729,805.01,0.001,,,
yui,56260,508,803.796,0.001,,,
ppl,56201,731,802.953,0.001,,,
told,56023,732,800.409,0.001,,,
years,55979,733,799.78,0.001,YEARS,NOUNS,NOUN.TIME
yet,55958,731,799.48,0.001,YET,ADVERBS,ADV.ALL
hru,55780,717,796.937,0.001,,,
looks,55417,730,791.75,0.001,,,
english,55271,730,789.664,0.001,ENGLISH,ADJECTIVES,ADJ.PERT
voice,55218,728,788.906,0.001,VOICE,NOUNS,NOUN.ACT
spam,54971,724,785.377,0.001,SPAM,NOUNS,NOUN.COMMUNICATION
show,54804,733,782.991,0.001,SHOW,NOUNS,NOUN.ACT
warn,54766,719,782.448,0.001,WARN,VERBS,VERB.COMMUNICATION
girls,54644,730,780.705,0.001,,,
food,54492,728,778.533,0.001,FOOD,NOUNS,NOUN.TOPS
happened,53879,730,769.774,0.001,,,
care,53702,731,767.244,0,CARE,NOUNS,NOUN.ACT
skrrt,53502,241,764.387,0,,,
little,53438,731,763.472,0,LITTLE,ADJECTIVES,ADJ.ALL
heard,53279,731,761.2,0,HEARD,ADJECTIVES,ADJ.ALL
ape,53216,445,760.3,0,APE,NOUNS,NOUN.ANIMAL
money,53161,727,759.514,0,MONEY,NOUNS,NOUN.POSSESSION
watching,52945,728,756.428,0,WATCHING,NOUNS,NOUN.ACT
away,52785,733,754.142,0,AWAY,ADJECTIVES,ADJ.ALL
ik,52680,732,752.641,0,,,
head,52380,730,748.355,0,HEAD,NOUNS,NOUN.ACT
boy,52188,728,745.611,0,BOY,NOUNS,NOUN.PERSON
makes,51988,732,742.753,0,,,
bit,51727,732,739.024,0,BIT,NOUNS,NOUN.ARTIFACT
bc,51486,729,735.581,0,BC,ADVERBS,ADV.ALL
lmaon,51416,727,734.58,0,,,
went,51071,731,729.651,0,,,
leo,50901,510,727.222,0,LEO,NOUNS,NOUN.LOCATION
shaved,50734,454,724.835,0,SHAVED,ADJECTIVES,ADJ.ALL
funny,50372,729,719.663,0,FUNNY,ADJECTIVES,ADJ.ALL
lil,50075,725,715.419,0,,,
mom,50061,731,715.219,0,MOM,NOUNS,NOUN.PERSON
black,49746,727,710.718,0,BLACK,ADJECTIVES,ADJ.ALL
water,49640,728,709.204,0,WATER,NOUNS,NOUN.ARTIFACT
start,49549,732,707.903,0,START,NOUNS,NOUN.ACT
times,49103,732,701.531,0,TIMES,NOUNS,NOUN.ACT
wish,49066,728,701.002,0,WISH,NOUNS,NOUN.COGNITION
